Depth,Test,Runs,Count,,Depth,Average Runs,Average Problem Size
4,1,9,9,,4,10,10
4,2,12,12,,5,21,21
4,3,11,11,,6,46,46
4,4,9,9,,7,88,88
4,5,14,14,,8,175,175
4,6,9,9,,9,347,347
4,7,7,7,,10,706,706
4,8,9,9,,11,1413,1413
4,9,8,8,,12,2834,2834
4,10,9,9,,13,5652,5652
4,11,11,11,,14,11319,11319
4,12,11,11,,15,22613,22613
4,13,12,12,,16,45222,45222
4,14,11,11,,17,90471,90471
4,15,9,9,,18,180912,180912
4,16,12,12,,19,361727,361727
4,17,9,9,,20,723325,723325
4,18,9,9,,21,1446915,1446915
4,19,8,8,,22,2893927,2893927
4,20,10,10,,23,5788143,5788143
5,1,22,22,,,,
5,2,22,22,,,,
5,3,21,21,,,,
5,4,19,19,,,,
5,5,20,20,,,,
5,6,20,20,,,,
5,7,22,22,,,,
5,8,24,24,,,,
5,9,20,20,,,,
5,10,20,20,,,,
5,11,25,25,,,,
5,12,24,24,,,,
5,13,22,22,,,,
5,14,20,20,,,,
5,15,20,20,,,,
5,16,20,20,,,,
5,17,20,20,,,,
5,18,23,23,,,,
5,19,23,23,,,,
5,20,22,22,,,,
6,1,41,41,,,,
6,2,48,48,,,,
6,3,47,47,,,,
6,4,48,48,,,,
6,5,44,44,,,,
6,6,45,45,,,,
6,7,47,47,,,,
6,8,50,50,,,,
6,9,44,44,,,,
6,10,47,47,,,,
6,11,48,48,,,,
6,12,47,47,,,,
6,13,40,40,,,,
6,14,41,41,,,,
6,15,39,39,,,,
6,16,50,50,,,,
6,17,44,44,,,,
6,18,44,44,,,,
6,19,43,43,,,,
6,20,54,54,,,,
7,1,94,94,,,,
7,2,86,86,,,,
7,3,92,92,,,,
7,4,81,81,,,,
7,5,77,77,,,,
7,6,92,92,,,,
7,7,90,90,,,,
7,8,94,94,,,,
7,9,87,87,,,,
7,10,89,89,,,,
7,11,77,77,,,,
7,12,95,95,,,,
7,13,89,89,,,,
7,14,90,90,,,,
7,15,95,95,,,,
7,16,87,87,,,,
7,17,92,92,,,,
7,18,92,92,,,,
7,19,83,83,,,,
7,20,82,82,,,,
8,1,176,176,,,,
8,2,164,164,,,,
8,3,170,170,,,,
8,4,166,166,,,,
8,5,169,169,,,,
8,6,189,189,,,,
8,7,170,170,,,,
8,8,179,179,,,,
8,9,188,188,,,,
8,10,165,165,,,,
8,11,170,170,,,,
8,12,172,172,,,,
8,13,174,174,,,,
8,14,188,188,,,,
8,15,187,187,,,,
8,16,174,174,,,,
8,17,183,183,,,,
8,18,164,164,,,,
8,19,178,178,,,,
8,20,177,177,,,,
9,1,344,344,,,,
9,2,351,351,,,,
9,3,344,344,,,,
9,4,351,351,,,,
9,5,341,341,,,,
9,6,325,325,,,,
9,7,353,353,,,,
9,8,345,345,,,,
9,9,345,345,,,,
9,10,364,364,,,,
9,11,356,356,,,,
9,12,354,354,,,,
9,13,343,343,,,,
9,14,357,357,,,,
9,15,349,349,,,,
9,16,331,331,,,,
9,17,368,368,,,,
9,18,347,347,,,,
9,19,356,356,,,,
9,20,323,323,,,,
10,1,700,700,,,,
10,2,694,694,,,,
10,3,719,719,,,,
10,4,695,695,,,,
10,5,688,688,,,,
10,6,694,694,,,,
10,7,683,683,,,,
10,8,696,696,,,,
10,9,727,727,,,,
10,10,704,704,,,,
10,11,694,694,,,,
10,12,701,701,,,,
10,13,718,718,,,,
10,14,695,695,,,,
10,15,731,731,,,,
10,16,717,717,,,,
10,17,727,727,,,,
10,18,718,718,,,,
10,19,710,710,,,,
10,20,705,705,,,,
11,1,1383,1383,,,,
11,2,1381,1381,,,,
11,3,1428,1428,,,,
11,4,1393,1393,,,,
11,5,1429,1429,,,,
11,6,1408,1408,,,,
11,7,1443,1443,,,,
11,8,1404,1404,,,,
11,9,1412,1412,,,,
11,10,1387,1387,,,,
11,11,1408,1408,,,,
11,12,1438,1438,,,,
11,13,1437,1437,,,,
11,14,1435,1435,,,,
11,15,1400,1400,,,,
11,16,1387,1387,,,,
11,17,1420,1420,,,,
11,18,1408,1408,,,,
11,19,1431,1431,,,,
11,20,1427,1427,,,,
12,1,2790,2790,,,,
12,2,2808,2808,,,,
12,3,2779,2779,,,,
12,4,2794,2794,,,,
12,5,2823,2823,,,,
12,6,2888,2888,,,,
12,7,2858,2858,,,,
12,8,2859,2859,,,,
12,9,2792,2792,,,,
12,10,2765,2765,,,,
12,11,2875,2875,,,,
12,12,2877,2877,,,,
12,13,2876,2876,,,,
12,14,2836,2836,,,,
12,15,2817,2817,,,,
12,16,2852,2852,,,,
12,17,2861,2861,,,,
12,18,2844,2844,,,,
12,19,2846,2846,,,,
12,20,2845,2845,,,,
13,1,5605,5605,,,,
13,2,5690,5690,,,,
13,3,5655,5655,,,,
13,4,5643,5643,,,,
13,5,5700,5700,,,,
13,6,5626,5626,,,,
13,7,5629,5629,,,,
13,8,5694,5694,,,,
13,9,5608,5608,,,,
13,10,5750,5750,,,,
13,11,5600,5600,,,,
13,12,5643,5643,,,,
13,13,5665,5665,,,,
13,14,5624,5624,,,,
13,15,5652,5652,,,,
13,16,5640,5640,,,,
13,17,5672,5672,,,,
13,18,5626,5626,,,,
13,19,5692,5692,,,,
13,20,5630,5630,,,,
14,1,11245,11245,,,,
14,2,11344,11344,,,,
14,3,11423,11423,,,,
14,4,11310,11310,,,,
14,5,11274,11274,,,,
14,6,11245,11245,,,,
14,7,11433,11433,,,,
14,8,11249,11249,,,,
14,9,11234,11234,,,,
14,10,11337,11337,,,,
14,11,11247,11247,,,,
14,12,11306,11306,,,,
14,13,11252,11252,,,,
14,14,11398,11398,,,,
14,15,11279,11279,,,,
14,16,11297,11297,,,,
14,17,11305,11305,,,,
14,18,11403,11403,,,,
14,19,11362,11362,,,,
14,20,11427,11427,,,,
15,1,22752,22752,,,,
15,2,22581,22581,,,,
15,3,22705,22705,,,,
15,4,22690,22690,,,,
15,5,22535,22535,,,,
15,6,22524,22524,,,,
15,7,22525,22525,,,,
15,8,22666,22666,,,,
15,9,22638,22638,,,,
15,10,22669,22669,,,,
15,11,22450,22450,,,,
15,12,22484,22484,,,,
15,13,22627,22627,,,,
15,14,22706,22706,,,,
15,15,22567,22567,,,,
15,16,22665,22665,,,,
15,17,22665,22665,,,,
15,18,22664,22664,,,,
15,19,22547,22547,,,,
15,20,22594,22594,,,,
16,1,45217,45217,,,,
16,2,45402,45402,,,,
16,3,45436,45436,,,,
16,4,45362,45362,,,,
16,5,44953,44953,,,,
16,6,45242,45242,,,,
16,7,45280,45280,,,,
16,8,45172,45172,,,,
16,9,45318,45318,,,,
16,10,44987,44987,,,,
16,11,45228,45228,,,,
16,12,45237,45237,,,,
16,13,45242,45242,,,,
16,14,45180,45180,,,,
16,15,45375,45375,,,,
16,16,45098,45098,,,,
16,17,45290,45290,,,,
16,18,45223,45223,,,,
16,19,45191,45191,,,,
16,20,45015,45015,,,,
17,1,90612,90612,,,,
17,2,90534,90534,,,,
17,3,90617,90617,,,,
17,4,90336,90336,,,,
17,5,90565,90565,,,,
17,6,90631,90631,,,,
17,7,90141,90141,,,,
17,8,90473,90473,,,,
17,9,90372,90372,,,,
17,10,90433,90433,,,,
17,11,90551,90551,,,,
17,12,90538,90538,,,,
17,13,90450,90450,,,,
17,14,90079,90079,,,,
17,15,90348,90348,,,,
17,16,90735,90735,,,,
17,17,90548,90548,,,,
17,18,90354,90354,,,,
17,19,90545,90545,,,,
17,20,90558,90558,,,,
18,1,181168,181168,,,,
18,2,180745,180745,,,,
18,3,180630,180630,,,,
18,4,180657,180657,,,,
18,5,180846,180846,,,,
18,6,180916,180916,,,,
18,7,180967,180967,,,,
18,8,180664,180664,,,,
18,9,180931,180931,,,,
18,10,180682,180682,,,,
18,11,180906,180906,,,,
18,12,181456,181456,,,,
18,13,180698,180698,,,,
18,14,180536,180536,,,,
18,15,180834,180834,,,,
18,16,180927,180927,,,,
18,17,181331,181331,,,,
18,18,180809,180809,,,,
18,19,181433,181433,,,,
18,20,181105,181105,,,,
19,1,361429,361429,,,,
19,2,361350,361350,,,,
19,3,361076,361076,,,,
19,4,362254,362254,,,,
19,5,361606,361606,,,,
19,6,362139,362139,,,,
19,7,361741,361741,,,,
19,8,361964,361964,,,,
19,9,362235,362235,,,,
19,10,361925,361925,,,,
19,11,361546,361546,,,,
19,12,361430,361430,,,,
19,13,361529,361529,,,,
19,14,361669,361669,,,,
19,15,362358,362358,,,,
19,16,361790,361790,,,,
19,17,361964,361964,,,,
19,18,361872,361872,,,,
19,19,361019,361019,,,,
19,20,361650,361650,,,,
20,1,723227,723227,,,,
20,2,723317,723317,,,,
20,3,722869,722869,,,,
20,4,723180,723180,,,,
